,Bestandskonto,Bewertungsklasse,Einzelpostenanzeige moeglich,Erfolgskontentyp,Geschaeftsbereich,Gruppenkennzeichen,KZ EKBE,Kennzeichen: Posten nicht kopierbar ?,Kostenstelle,Kreditkontr_Bereich,Laufende Kontierung,PartnerPrctr,Profitcenter,Rechnungsbezug,Soll/Haben-Kennz_,Sperrgrund Menge,Steuerkennzeichen,Bewertungskreis,Steuerstandort,Umsatzwirksam,Verwaltung offener Posten,Werk,Zahlungsbedingung,Zahlungssperre,Alternative Kontonummer,Basismengeneinheit,BestPreisMngEinheit,Bestandsbuchung,Bestellmengeneinheit,Buchungsschluessel,Buchungszeilen-Id,ErfassungsMngEinh,Hauptbuchkonto,Kontoart,Kostenart,Kreditor,Material,Preissteuerung,Sachkonto,Vorgang,Vorgangsart GL,Wertestring,Betrag Hauswaehr,Betrag,Betrag_5,Gesamtbestand,Gesamtwert,Kreditkontr_betrag,Menge in BPME,Menge in ErfassME,Menge,Skontobasis,Label,Belegnummer,Position,Transaktionsart,Erfassungsuhrzeit
38704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,InvoiceKickback1-Fraud,5000000223,3,Materialzugang,17:32:33
38705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,InvoiceKickback1-Fraud,5000000223,4,Sachkontenbuchung,17:32:33
38710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003573,2,Sachkontenbuchung,17:32:33
38711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003573,3,Sachkontenbuchung,17:32:33
38715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003574,2,Sachkontenbuchung,17:32:33
38721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003575,2,Sachkontenbuchung,17:32:33
38722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003575,3,Sachkontenbuchung,17:32:33
38742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003576,2,Sachkontenbuchung,17:32:34
38746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003577,2,Sachkontenbuchung,17:32:34
38750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003578,2,Sachkontenbuchung,17:32:34
38756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003579,2,Sachkontenbuchung,17:32:35
38757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003579,3,Sachkontenbuchung,17:32:35
38763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003580,2,Sachkontenbuchung,17:32:35
38764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003580,3,Sachkontenbuchung,17:32:35
38770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003581,2,Sachkontenbuchung,17:32:36
38771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003581,3,Sachkontenbuchung,17:32:36
38777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003582,2,Sachkontenbuchung,17:32:36
38778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003582,3,Sachkontenbuchung,17:32:36
38782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003583,2,Sachkontenbuchung,17:32:37
38788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003584,2,Sachkontenbuchung,17:32:37
38789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003584,3,Sachkontenbuchung,17:32:37
38795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003585,2,Sachkontenbuchung,17:32:38
38796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003585,3,Sachkontenbuchung,17:32:38
38800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003586,2,Sachkontenbuchung,17:32:38
38804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,InvoiceKickback2-Fraud,90003587,2,Sachkontenbuchung,17:32:38
38917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Bill-InvoiceKickback1-Fraud,5100000223,2,Sachkontenbuchung,17:34:39
38918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Bill-InvoiceKickback1-Fraud,5100000223,3,Sachkontenbuchung,17:34:39
43192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,InvoiceKickback1-Fraud,5000000243,1,Materialzugang,18:10:22
43193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,InvoiceKickback1-Fraud,5000000243,2,Sachkontenbuchung,18:10:22
43194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,InvoiceKickback1-Fraud,5000000243,3,Materialzugang,18:10:22
43195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,InvoiceKickback1-Fraud,5000000243,4,Sachkontenbuchung,18:10:22
43518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Bill-InvoiceKickback1-Fraud,5100000243,2,Sachkontenbuchung,18:12:26
43519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Bill-InvoiceKickback1-Fraud,5100000243,3,Sachkontenbuchung,18:12:26
53339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Theft1-Fraud,5000000296,1,Materialzugang,19:30:12
53340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Theft1-Fraud,5000000296,2,Sachkontenbuchung,19:30:12
53341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Theft1-Fraud,5000000296,3,Materialzugang,19:30:12
53342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Theft1-Fraud,5000000296,4,Sachkontenbuchung,19:30:12
56650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Theft1-Fraud,5000000312,1,Materialzugang,19:55:26
56651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Theft1-Fraud,5000000312,2,Sachkontenbuchung,19:55:26
56652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Theft1-Fraud,5000000312,3,Materialzugang,19:55:26
56653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Theft1-Fraud,5000000312,4,Sachkontenbuchung,19:55:26
56654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Theft1-Fraud,5000000312,5,Materialzugang,19:55:26
56655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Theft1-Fraud,5000000312,6,Sachkontenbuchung,19:55:26
62969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,InvoiceKickback1-Fraud,5000000344,1,Materialzugang,20:45:50
62970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,InvoiceKickback1-Fraud,5000000344,2,Sachkontenbuchung,20:45:50
62971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,InvoiceKickback1-Fraud,5000000344,3,Materialzugang,20:45:50
62972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,InvoiceKickback1-Fraud,5000000344,4,Sachkontenbuchung,20:45:50
62973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,InvoiceKickback1-Fraud,5000000344,5,Materialzugang,20:45:50
62974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,InvoiceKickback1-Fraud,5000000344,6,Sachkontenbuchung,20:45:50
63234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Bill-InvoiceKickback1-Fraud,5100000344,2,Sachkontenbuchung,20:47:56
63235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Bill-InvoiceKickback1-Fraud,5100000344,3,Sachkontenbuchung,20:47:56
63236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Bill-InvoiceKickback1-Fraud,5100000344,4,Sachkontenbuchung,20:47:56
